date,market_id,city,side,model_yes_prob,market_yes_price,win_prob,entry_price,edge,cash,quantity,exit_price,exit_reason,settlement_value,actual_win,pnl,bankroll_after,return_on_cost,result,regime_uncertainty
2025-10-08,demo_los_angeles_2025-10-08,los_angeles,no,0.2585,0.472,0.7415,0.528,0.2135,0.5,0.94697,1.0,settlement,0.0,True,0.447,5.761,0.894,win,normal
2025-10-12,demo_los_angeles_2025-10-12,los_angeles,no,0.3862,0.5504,0.6138,0.4496,0.1642,0.5,1.1121,0.34,stop_loss,0.0,True,-0.1219,5.6391,-0.2438,loss,normal
2025-10-12,demo_miami_2025-10-12,miami,yes,0.6756,0.5302,0.6756,0.5302,0.1454,0.5,0.94304,1.0,settlement,1.0,True,0.443,6.0821,0.886,win,normal
2025-10-28,demo_denver_2025-10-28,denver,yes,0.6783,0.5634,0.6783,0.5634,0.1149,0.5,0.887469,0.74,take_profit,1.0,True,0.1567,6.2388,0.3134,win,normal
2025-10-30,demo_chicago_2025-10-30,chicago,no,0.3567,0.4678,0.6433,0.5322,0.1111,0.5,0.939496,1.0,settlement,0.0,True,0.4395,6.6783,0.879,win,high
2025-10-30,demo_nyc_2025-10-30,nyc,no,0.3096,0.5861,0.6904,0.4139,0.2765,0.5,1.208021,0.34,stop_loss,0.0,True,-0.0893,6.589,-0.1786,loss,normal
2025-10-31,demo_miami_2025-10-31,miami,yes,0.5394,0.4292,0.5394,0.4292,0.1102,0.5,1.164958,0.34,stop_loss,1.0,True,-0.1039,6.4851,-0.2078,loss,normal
2025-11-02,demo_nyc_2025-11-02,nyc,no,0.3514,0.4762,0.6486,0.5238,0.1248,0.5,0.954563,0.0,settlement,1.0,False,-0.5,5.9851,-1.0,loss,normal
2025-11-04,demo_miami_2025-11-04,miami,yes,0.5555,0.4424,0.5555,0.4424,0.1131,0.5,1.130199,0.34,stop_loss,1.0,True,-0.1157,5.8694,-0.2314,loss,normal
2025-11-08,demo_denver_2025-11-08,denver,yes,0.6933,0.5107,0.6933,0.5107,0.1826,0.5,0.979048,0.34,stop_loss,0.0,False,-0.1671,5.7023,-0.3342,loss,normal
2025-11-09,demo_chicago_2025-11-09,chicago,yes,0.7435,0.4615,0.7435,0.4615,0.282,0.5,1.083424,1.0,settlement,1.0,True,0.5834,6.2857,1.1668,win,normal
2025-11-11,demo_nyc_2025-11-11,nyc,no,0.421,0.546,0.579,0.454,0.125,0.5,1.101322,0.0,settlement,1.0,False,-0.5,5.7857,-1.0,loss,normal
2025-11-14,demo_chicago_2025-11-14,chicago,yes,0.7971,0.583,0.7971,0.583,0.2141,0.5,0.857633,1.0,settlement,1.0,True,0.3576,6.1433,0.7152,win,normal
2025-11-17,demo_denver_2025-11-17,denver,no,0.2822,0.4007,0.7178,0.5993,0.1185,0.5,0.834307,0.74,take_profit,0.0,True,0.1174,6.2607,0.2348,win,normal
2025-11-21,demo_chicago_2025-11-21,chicago,no,0.3444,0.456,0.6556,0.544,0.1116,0.5,0.919118,1.0,settlement,0.0,True,0.4191,6.6798,0.8382,win,high
2025-11-22,demo_nyc_2025-11-22,nyc,yes,0.5968,0.4948,0.5968,0.4948,0.102,0.5,1.010509,0.34,stop_loss,1.0,True,-0.1564,6.5234,-0.3128,loss,normal
2025-11-23,demo_nyc_2025-11-23,nyc,yes,0.7697,0.5774,0.7697,0.5774,0.1923,0.5,0.865951,0.74,take_profit,1.0,True,0.1408,6.6642,0.2816,win,high
2025-11-24,demo_chicago_2025-11-24,chicago,yes,0.6597,0.4851,0.6597,0.4851,0.1746,0.5,1.030715,0.34,stop_loss,0.0,False,-0.1496,6.5146,-0.2992,loss,normal
2025-11-25,demo_miami_2025-11-25,miami,no,0.3735,0.5033,0.6265,0.4967,0.1298,0.5,1.006644,1.0,settlement,0.0,True,0.5066,7.0212,1.0132,win,normal
2025-11-28,demo_denver_2025-11-28,denver,yes,0.7202,0.5697,0.7202,0.5697,0.1505,0.5,0.877655,1.0,settlement,1.0,True,0.3777,7.3989,0.7554,win,normal
2025-11-30,demo_miami_2025-11-30,miami,yes,0.7458,0.547,0.7458,0.547,0.1988,0.5,0.914077,1.0,settlement,1.0,True,0.4141,7.813,0.8282,win,normal
2025-12-01,demo_miami_2025-12-01,miami,no,0.2564,0.4776,0.7436,0.5224,0.2212,0.5,0.957121,0.34,stop_loss,0.0,True,-0.1746,7.6384,-0.3492,loss,normal
2025-12-02,demo_denver_2025-12-02,denver,yes,0.6463,0.4856,0.6463,0.4856,0.1607,0.5,1.029654,1.0,settlement,1.0,True,0.5297,8.1681,1.0594,win,normal
2025-12-04,demo_miami_2025-12-04,miami,yes,0.703,0.5947,0.703,0.5947,0.1083,0.5,0.84076,1.0,settlement,1.0,True,0.3408,8.5089,0.6816,win,normal
2025-12-05,demo_nyc_2025-12-05,nyc,yes,0.5573,0.4146,0.5573,0.4146,0.1427,0.5,1.205982,0.34,stop_loss,0.0,False,-0.09,8.4189,-0.18,loss,normal
2025-12-06,demo_los_angeles_2025-12-06,los_angeles,no,0.3502,0.5576,0.6498,0.4424,0.2074,0.5,1.130199,0.0,settlement,1.0,False,-0.5,7.9189,-1.0,loss,high
2025-12-07,demo_miami_2025-12-07,miami,no,0.261,0.4526,0.739,0.5474,0.1916,0.5,0.913409,1.0,settlement,0.0,True,0.4134,8.3323,0.8268,win,normal
2025-12-08,demo_los_angeles_2025-12-08,los_angeles,yes,0.6126,0.4969,0.6126,0.4969,0.1157,0.5,1.006239,1.0,settlement,1.0,True,0.5062,8.8385,1.0124,win,normal
2025-12-14,demo_los_angeles_2025-12-14,los_angeles,no,0.3231,0.4319,0.6769,0.5681,0.1088,0.5,0.880127,0.74,take_profit,0.0,True,0.1513,8.9898,0.3026,win,normal
2025-12-18,demo_los_angeles_2025-12-18,los_angeles,yes,0.6149,0.5117,0.6149,0.5117,0.1032,0.5,0.977135,1.0,settlement,1.0,True,0.4771,9.4669,0.9542,win,high
2025-12-23,demo_miami_2025-12-23,miami,no,0.2749,0.4233,0.7251,0.5767,0.1484,0.5,0.867002,1.0,settlement,0.0,True,0.367,9.8339,0.734,win,high
2025-12-24,demo_chicago_2025-12-24,chicago,yes,0.6221,0.4581,0.6221,0.4581,0.164,0.5,1.091465,1.0,settlement,1.0,True,0.5915,10.4254,1.183,win,normal
2025-12-24,demo_los_angeles_2025-12-24,los_angeles,no,0.3098,0.5074,0.6902,0.4926,0.1976,0.5,1.015022,0.34,stop_loss,1.0,False,-0.1549,10.2705,-0.3098,loss,normal
2025-12-26,demo_chicago_2025-12-26,chicago,yes,0.6368,0.4606,0.6368,0.4606,0.1762,0.5,1.085541,0.34,stop_loss,1.0,True,-0.1309,10.1396,-0.2618,loss,normal
2025-12-26,demo_los_angeles_2025-12-26,los_angeles,yes,0.7551,0.4684,0.7551,0.4684,0.2867,0.5,1.067464,0.34,stop_loss,0.0,False,-0.1371,10.0025,-0.2742,loss,normal
2025-12-28,demo_los_angeles_2025-12-28,los_angeles,yes,0.6737,0.5555,0.6737,0.5555,0.1182,0.5,0.90009,1.0,settlement,1.0,True,0.4001,10.4026,0.8002,win,normal
2025-12-31,demo_nyc_2025-12-31,nyc,yes,0.7104,0.5519,0.7104,0.5519,0.1585,0.5,0.905961,0.34,stop_loss,1.0,True,-0.192,10.2106,-0.384,loss,normal
2026-01-01,demo_denver_2026-01-01,denver,yes,0.5645,0.4262,0.5645,0.4262,0.1383,0.5,1.173158,0.34,stop_loss,1.0,True,-0.1011,10.1095,-0.2022,loss,high
2026-01-02,demo_miami_2026-01-02,miami,no,0.4752,0.5778,0.5248,0.4222,0.1026,0.5,1.184273,0.34,stop_loss,1.0,False,-0.0973,10.0122,-0.1946,loss,normal
2026-01-03,demo_los_angeles_2026-01-03,los_angeles,no,0.3589,0.4635,0.6411,0.5365,0.1046,0.5,0.931966,1.0,settlement,0.0,True,0.432,10.4442,0.864,win,normal
2026-01-06,demo_chicago_2026-01-06,chicago,yes,0.6355,0.5319,0.6355,0.5319,0.1036,0.5,0.940026,1.0,settlement,1.0,True,0.44,10.8842,0.88,win,normal
2026-01-06,demo_denver_2026-01-06,denver,no,0.2872,0.4544,0.7128,0.5456,0.1672,0.5,0.916422,0.34,stop_loss,0.0,True,-0.1884,10.6958,-0.3768,loss,normal
2026-01-14,demo_los_angeles_2026-01-14,los_angeles,yes,0.5903,0.419,0.5903,0.419,0.1713,0.5,1.193317,0.34,stop_loss,0.0,False,-0.0943,10.6015,-0.1886,loss,normal
2026-01-15,demo_chicago_2026-01-15,chicago,no,0.3761,0.5047,0.6239,0.4953,0.1286,0.5,1.009489,0.34,stop_loss,0.0,True,-0.1568,10.4447,-0.3136,loss,normal
2026-01-15,demo_denver_2026-01-15,denver,no,0.3135,0.4623,0.6865,0.5377,0.1488,0.5,0.929887,1.0,settlement,0.0,True,0.4299,10.8746,0.8598,win,normal
2026-01-15,demo_los_angeles_2026-01-15,los_angeles,no,0.4509,0.576,0.5491,0.424,0.1251,0.5,1.179245,0.34,stop_loss,0.0,True,-0.0991,10.7755,-0.1982,loss,normal
2026-01-16,demo_chicago_2026-01-16,chicago,no,0.4269,0.5658,0.5731,0.4342,0.1389,0.5,1.151543,0.34,stop_loss,1.0,False,-0.1085,10.667,-0.217,loss,normal
2026-01-21,demo_denver_2026-01-21,denver,yes,0.6141,0.4508,0.6141,0.4508,0.1633,0.5,1.109139,1.0,settlement,1.0,True,0.6091,11.2761,1.2182,win,normal
2026-01-22,demo_chicago_2026-01-22,chicago,no,0.4328,0.5362,0.5672,0.4638,0.1034,0.5,1.078051,1.0,settlement,0.0,True,0.5781,11.8542,1.1562,win,normal
2026-01-22,demo_nyc_2026-01-22,nyc,no,0.3522,0.4682,0.6478,0.5318,0.116,0.5,0.940203,1.0,settlement,0.0,True,0.4402,12.2944,0.8804,win,normal
2026-01-26,demo_nyc_2026-01-26,nyc,yes,0.685,0.5694,0.685,0.5694,0.1156,0.5,0.878117,0.74,take_profit,1.0,True,0.1498,12.4442,0.2996,win,normal
2026-01-29,demo_chicago_2026-01-29,chicago,no,0.3086,0.478,0.6914,0.522,0.1694,0.5,0.957854,0.34,stop_loss,0.0,True,-0.1743,12.2699,-0.3486,loss,normal
2026-01-29,demo_nyc_2026-01-29,nyc,yes,0.634,0.5195,0.634,0.5195,0.1145,0.5,0.962464,0.34,stop_loss,1.0,True,-0.1728,12.0971,-0.3456,loss,high
2026-02-04,demo_chicago_2026-02-04,chicago,yes,0.5788,0.4254,0.5788,0.4254,0.1534,0.5,1.175364,0.34,stop_loss,0.0,False,-0.1004,11.9967,-0.2008,loss,normal
2026-02-09,demo_denver_2026-02-09,denver,no,0.3887,0.5601,0.6113,0.4399,0.1714,0.5,1.136622,0.34,stop_loss,0.0,True,-0.1135,11.8832,-0.227,loss,normal
2026-02-10,demo_chicago_2026-02-10,chicago,yes,0.7709,0.5236,0.7709,0.5236,0.2473,0.5,0.954927,1.0,settlement,1.0,True,0.4549,12.3381,0.9098,win,normal
2026-02-10,demo_miami_2026-02-10,miami,yes,0.7518,0.5628,0.7518,0.5628,0.189,0.5,0.888415,0.0,settlement,0.0,False,-0.5,11.8381,-1.0,loss,normal
2026-02-15,demo_chicago_2026-02-15,chicago,yes,0.6778,0.5697,0.6778,0.5697,0.1081,0.5,0.877655,1.0,settlement,1.0,True,0.3777,12.2158,0.7554,win,normal
2026-02-19,demo_chicago_2026-02-19,chicago,no,0.3664,0.4899,0.6336,0.5101,0.1235,0.5,0.9802,0.34,stop_loss,0.0,True,-0.1667,12.0491,-0.3334,loss,normal
2026-02-20,demo_miami_2026-02-20,miami,yes,0.6052,0.4751,0.6052,0.4751,0.1301,0.5,1.05241,0.0,settlement,0.0,False,-0.5,11.5491,-1.0,loss,high
2026-02-23,demo_nyc_2026-02-23,nyc,no,0.3602,0.4714,0.6398,0.5286,0.1112,0.5,0.945895,1.0,settlement,0.0,True,0.4459,11.995,0.8918,win,normal
2026-02-24,demo_denver_2026-02-24,denver,no,0.3042,0.4361,0.6958,0.5639,0.1319,0.5,0.886682,1.0,settlement,0.0,True,0.3867,12.3817,0.7734,win,normal
2026-02-28,demo_miami_2026-02-28,miami,no,0.4462,0.5628,0.5538,0.4372,0.1166,0.5,1.143641,0.0,settlement,1.0,False,-0.5,11.8817,-1.0,loss,normal
2026-03-01,demo_miami_2026-03-01,miami,no,0.3151,0.4796,0.6849,0.5204,0.1645,0.5,0.960799,0.0,settlement,1.0,False,-0.5,11.3817,-1.0,loss,normal
2026-03-02,demo_nyc_2026-03-02,nyc,no,0.3404,0.554,0.6596,0.446,0.2136,0.5,1.121076,0.34,stop_loss,0.0,True,-0.1188,11.2629,-0.2376,loss,high
2026-03-03,demo_denver_2026-03-03,denver,yes,0.6109,0.4985,0.6109,0.4985,0.1124,0.5,1.003009,1.0,settlement,1.0,True,0.503,11.7659,1.006,win,normal
2026-03-06,demo_los_angeles_2026-03-06,los_angeles,no,0.3015,0.4525,0.6985,0.5475,0.151,0.5,0.913242,0.74,take_profit,0.0,True,0.1758,11.9417,0.3516,win,normal
2026-03-07,demo_denver_2026-03-07,denver,yes,0.6653,0.5373,0.6653,0.5373,0.128,0.5,0.930579,1.0,settlement,1.0,True,0.4306,12.3723,0.8612,win,normal
2026-03-07,demo_nyc_2026-03-07,nyc,no,0.2364,0.4011,0.7636,0.5989,0.1647,0.5,0.834864,1.0,settlement,0.0,True,0.3349,12.7072,0.6698,win,normal
2026-03-09,demo_los_angeles_2026-03-09,los_angeles,no,0.4429,0.556,0.5571,0.444,0.1131,0.5,1.126126,1.0,settlement,0.0,True,0.6261,13.3333,1.2522,win,normal
2026-03-10,demo_denver_2026-03-10,denver,no,0.3738,0.5379,0.6262,0.4621,0.1641,0.5,1.082017,0.0,settlement,1.0,False,-0.5,12.8333,-1.0,loss,normal
2026-03-16,demo_denver_2026-03-16,denver,no,0.4688,0.5975,0.5312,0.4025,0.1287,0.5,1.242236,0.34,stop_loss,1.0,False,-0.0776,12.7557,-0.1552,loss,normal
2026-03-16,demo_los_angeles_2026-03-16,los_angeles,yes,0.6379,0.5135,0.6379,0.5135,0.1244,0.5,0.97371,0.34,stop_loss,0.0,False,-0.1689,12.5868,-0.3378,loss,normal
2026-03-19,demo_chicago_2026-03-19,chicago,no,0.3415,0.4947,0.6585,0.5053,0.1532,0.5,0.989511,0.34,stop_loss,0.0,True,-0.1636,12.4232,-0.3272,loss,normal
2026-03-19,demo_denver_2026-03-19,denver,yes,0.58,0.4528,0.58,0.4528,0.1272,0.5,1.10424,1.0,settlement,1.0,True,0.6042,13.0274,1.2084,win,normal
2026-03-19,demo_los_angeles_2026-03-19,los_angeles,yes,0.6478,0.5121,0.6478,0.5121,0.1357,0.5,0.976372,1.0,settlement,1.0,True,0.4764,13.5038,0.9528,win,normal
2026-03-25,demo_chicago_2026-03-25,chicago,no,0.3976,0.4993,0.6024,0.5007,0.1017,0.5,0.998602,0.34,stop_loss,0.0,True,-0.1605,13.3433,-0.321,loss,normal
2026-03-27,demo_chicago_2026-03-27,chicago,no,0.3788,0.4796,0.6212,0.5204,0.1008,0.5,0.960799,1.0,settlement,0.0,True,0.4608,13.8041,0.9216,win,normal
2026-03-28,demo_nyc_2026-03-28,nyc,yes,0.628,0.4731,0.628,0.4731,0.1549,0.5,1.056859,0.34,stop_loss,0.0,False,-0.1407,13.6634,-0.2814,loss,normal
2026-03-31,demo_nyc_2026-03-31,nyc,no,0.3642,0.5331,0.6358,0.4669,0.1689,0.5,1.070893,1.0,settlement,0.0,True,0.5709,14.2343,1.1418,win,normal
2026-04-05,demo_nyc_2026-04-05,nyc,no,0.3258,0.4514,0.6742,0.5486,0.1256,0.5,0.911411,1.0,settlement,0.0,True,0.4114,14.6457,0.8228,win,normal
2026-04-06,demo_los_angeles_2026-04-06,los_angeles,yes,0.5924,0.442,0.5924,0.442,0.1504,0.5,1.131222,1.0,settlement,1.0,True,0.6312,15.2769,1.2624,win,normal
2026-04-08,demo_los_angeles_2026-04-08,los_angeles,no,0.2282,0.4023,0.7718,0.5977,0.1741,0.5,0.83654,1.0,settlement,0.0,True,0.3365,15.6134,0.673,win,normal
2026-04-09,demo_los_angeles_2026-04-09,los_angeles,yes,0.5881,0.4533,0.5881,0.4533,0.1348,0.5,1.103022,0.34,stop_loss,1.0,True,-0.125,15.4884,-0.25,loss,high
2026-04-10,demo_denver_2026-04-10,denver,no,0.2353,0.561,0.7647,0.439,0.3257,0.5,1.138952,1.0,settlement,0.0,True,0.639,16.1274,1.278,win,normal
2026-04-10,demo_nyc_2026-04-10,nyc,no,0.4183,0.598,0.5817,0.402,0.1797,0.5,1.243781,0.34,stop_loss,1.0,False,-0.0771,16.0503,-0.1542,loss,normal
2026-04-12,demo_miami_2026-04-12,miami,no,0.3749,0.4888,0.6251,0.5112,0.1139,0.5,0.978091,1.0,settlement,0.0,True,0.4781,16.5284,0.9562,win,normal
2026-04-19,demo_los_angeles_2026-04-19,los_angeles,no,0.3381,0.455,0.6619,0.545,0.1169,0.5,0.917431,0.0,settlement,1.0,False,-0.5,16.0284,-1.0,loss,normal
2026-04-21,demo_denver_2026-04-21,denver,yes,0.6382,0.468,0.6382,0.468,0.1702,0.5,1.068376,1.0,settlement,1.0,True,0.5684,16.5968,1.1368,win,normal
2026-04-22,demo_nyc_2026-04-22,nyc,no,0.3397,0.4933,0.6603,0.5067,0.1536,0.5,0.986777,0.0,settlement,1.0,False,-0.5,16.0968,-1.0,loss,normal
2026-04-26,demo_nyc_2026-04-26,nyc,yes,0.5414,0.4192,0.5414,0.4192,0.1222,0.5,1.192748,0.34,stop_loss,0.0,False,-0.0945,16.0023,-0.189,loss,normal
2026-04-27,demo_chicago_2026-04-27,chicago,yes,0.7215,0.5731,0.7215,0.5731,0.1484,0.5,0.872448,1.0,settlement,1.0,True,0.3724,16.3747,0.7448,win,normal
2026-04-27,demo_denver_2026-04-27,denver,no,0.3827,0.5672,0.6173,0.4328,0.1845,0.5,1.155268,0.34,stop_loss,1.0,False,-0.1072,16.2675,-0.2144,loss,normal
2026-04-28,demo_denver_2026-04-28,denver,yes,0.7182,0.5655,0.7182,0.5655,0.1527,0.5,0.884173,1.0,settlement,1.0,True,0.3842,16.6517,0.7684,win,normal
